지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심적설(cm),평균 전운량(1/10)
108,서울,2011-11-08,14.9,,2.1,65,10.8,1009.2,4.7,7.28,,6.9
108,서울,2011-11-09,14.5,,3.6,59.4,9.7,1009.9,5.4,6.76,,6.6
108,서울,2011-11-10,14.1,,3,54.1,8.6,1008.3,2.8,6.19,,7.6
108,서울,2011-11-11,12.5,1,1.8,71.1,10.2,1006.1,0,3.69,,8.6
108,서울,2011-11-12,12,,2.1,66.5,9.1,1007.6,5.6,7.17,,4.6
108,서울,2011-11-13,11.3,,3.3,53.9,7.2,1008.9,6.2,8.93,,3.4
108,서울,2011-11-14,6.4,,2.9,37.3,3.5,1014.8,9.5,11.16,,0
108,서울,2011-11-15,7.2,,1.7,43.8,4.5,1019.9,9.3,9.74,,.8
108,서울,2011-11-16,10.9,,2.2,51.1,6.6,1019.8,7.2,8.28,,5.9
108,서울,2011-11-17,13.6,0,3.2,52.9,8.1,1015.4,.2,3.51,,8.5
108,서울,2011-11-18,14.2,6,3.1,81,13.1,1002.5,1.7,3.23,,9.8
108,서울,2011-11-19,10.6,.2,4.3,71.4,9.7,999.7,3.5,4.5,,5.8
108,서울,2011-11-20,.4,,4.5,40.5,2.5,1016.2,9.4,11.07,,.5
108,서울,2011-11-21,1.6,,2,39.1,2.6,1020.6,9.4,10.95,,0
108,서울,2011-11-22,5.6,.1,2.6,53.1,4.8,1014.7,0,3.5,,9
108,서울,2011-11-23,2.8,4.5,4.4,68.5,5.4,1008.4,1.2,3.19,,8.3
108,서울,2011-11-24,-1.6,,2.9,45.8,2.5,1017.9,9.3,10.39,,2
108,서울,2011-11-25,2.8,0,1.7,49.4,3.7,1019.5,8.6,8.95,,3.5
108,서울,2011-11-26,5.6,0,2.7,55.9,5.1,1015.7,0,1.45,,9.3
108,서울,2011-11-27,13.5,0,3.2,73.5,11.5,1010.8,0,1.29,,9.8
108,서울,2011-11-28,14.6,.3,1.3,82.8,13.7,1010.8,.1,2.74,,9
108,서울,2011-11-29,11.3,1,2.4,87.5,11.7,1011.8,0,.25,,9.5
108,서울,2011-11-30,4.7,30,5,82.8,7.1,1013.1,0,1.49,,9.9
108,서울,2011-12-01,5.8,,3.9,55,5.1,1014.8,4.8,6.87,,6.9
108,서울,2011-12-02,5.5,1.5,4,58.6,5.3,1010.1,0,2.49,,8.6
108,서울,2011-12-03,5.3,3.5,2.5,73.6,6.5,1007.7,4,5.23,,5.8
108,서울,2011-12-04,2.5,,2.6,51.4,3.8,1015.3,8,7.8,,2.9
108,서울,2011-12-05,1.5,,2,35.9,2.4,1020.1,7.4,8.3,,4.8
108,서울,2011-12-06,3.9,,2.2,39.3,3.1,1018.7,5.3,7.22,,6.8
108,서울,2011-12-07,4,,2.2,60.1,4.9,1015.9,0,3.87,,9
108,서울,2011-12-08,.1,,3.8,59.6,3.7,1012.7,8.1,8,,4.8
108,서울,2011-12-09,-2.7,0,2.7,50.8,2.6,1016.1,2.9,5.17,,5.1
108,서울,2011-12-10,-1.7,0,2.2,48.6,2.7,1014.8,7,7.5,,4.4
108,서울,2011-12-11,2.8,0,1.9,64.6,4.9,1015.2,3.8,5.9,,7.5
108,서울,2011-12-12,3.5,0,2.3,54.4,4.3,1016.3,8.8,7.97,,3.6
108,서울,2011-12-13,1.5,,1.8,42.8,2.8,1016.8,8.7,8.41,,2.1
108,서울,2011-12-14,2.4,0,2.4,60.9,4.5,1012.8,1.6,3.12,,6.4
108,서울,2011-12-15,-3.9,,3.9,38.8,1.8,1017,8.9,8.93,,.8
108,서울,2011-12-16,-7.1,,3.9,39.1,1.4,1019.4,9,8.97,,.1
108,서울,2011-12-17,-5.8,,1.7,45.6,1.8,1021,9.1,8.85,,2.4
108,서울,2011-12-18,-2.4,0,2.2,46.8,2.3,1019.2,8.6,8.34,,2.8
108,서울,2011-12-19,-2.4,,2,38.3,1.9,1019.3,8.8,8.01,,.5
108,서울,2011-12-20,-.3,,1.9,40.8,2.5,1017.9,6.8,7.05,,4.5
108,서울,2011-12-21,1.9,.7,2.7,61.8,4.3,1012.4,1.8,3.34,.7,8.9
108,서울,2011-12-22,-5.5,,4.8,33.9,1.4,1015.3,8.9,9.06,,1
108,서울,2011-12-23,-5.4,.6,2.2,42.8,1.8,1014.5,7.8,8.42,1.2,3.4
108,서울,2011-12-24,-5.2,.5,3.7,54,2.3,1012.8,8.8,8.27,2.1,1.4
108,서울,2011-12-25,-7.1,,3.6,35.4,1.3,1019.2,9,8.93,,0
108,서울,2011-12-26,-7.1,,2.6,29.1,1,1023.9,9,9.13,,0
108,서울,2011-12-27,-4,,1.8,37.4,1.7,1024.1,7.8,7.81,,1.4
108,서울,2011-12-28,-.5,.3,1.6,65,3.9,1019.2,2.2,3.23,.3,7.6
108,서울,2011-12-29,-1.7,,2.8,66.1,3.6,1017.7,8.1,7.7,.3,2.8
108,서울,2011-12-30,-3,,1.6,66.6,3.2,1020.1,7.4,6.93,,0
108,서울,2011-12-31,-1.9,,1.6,66.5,3.5,1016.8,3.2,5.01,,5.5
108,서울,2012-01-01,-3,0,2.9,64.5,3.2,1013.8,4.4,4.9,,5.1
108,서울,2012-01-02,-4.8,,2.3,66.5,2.8,1015.7,5.9,6.16,,2.9
108,서울,2012-01-03,-4.5,.4,2.5,68.3,3,1011,2.7,4.46,.6,7.5
108,서울,2012-01-04,-7.4,0,3.1,55.4,1.9,1015.1,8.1,8.05,.6,1.1
108,서울,2012-01-05,-5.7,,1.5,49.8,1.9,1018.5,9,9.14,,0
108,서울,2012-01-06,-2.8,,2.5,42.9,2.1,1020.4,8.4,8.57,,3.1
108,서울,2012-01-07,-3.8,,1.6,46.5,2.1,1024.1,8.5,8.26,,0
108,서울,2012-01-08,-2.5,,1.7,54.3,2.7,1021.1,2.8,4.81,,6.8
108,서울,2012-01-09,-.3,0,1.9,66.1,3.9,1019.1,2.4,5.34,,6.4
108,서울,2012-01-10,-2.5,,2.5,53.9,2.7,1017.2,6.6,7.51,,1.9
108,서울,2012-01-11,-6,,3.1,42.3,1.6,1020.2,9,9.28,,0
108,서울,2012-01-12,-4.6,0,2.5,56.5,2.6,1017.8,6.3,6.95,,4.5
108,서울,2012-01-13,-1.2,,2.5,52.8,2.9,1013.7,6.7,7.45,,3.3
108,서울,2012-01-14,-1.5,,2.1,51.6,2.8,1013.6,8.7,8.79,,2.5
108,서울,2012-01-15,-2.6,,2.4,44.5,2.2,1011.4,6.3,7.33,,4.6
108,서울,2012-01-16,1,,1.4,44.6,3,1008.9,9.1,8.99,,1.4
108,서울,2012-01-17,2.8,,1.8,48.5,3.7,1010,5.2,7.04,,4.3
108,서울,2012-01-18,1.4,,1.7,39.8,2.7,1012.3,4.6,6.8,,4.8
108,서울,2012-01-19,5.3,.2,2.9,54.4,4.9,1012.1,.3,4.23,,9.3
108,서울,2012-01-20,5.4,.5,3.4,61,5.5,1012.5,.9,4.17,,9.8
108,서울,2012-01-21,2.4,.1,2.8,60.3,4.4,1011.1,0,4.34,,7.8
108,서울,2012-01-22,-7.7,,4.2,37.9,1.3,1014.3,9,10.49,,1.9
108,서울,2012-01-23,-9.6,,3.4,33.3,.9,1015.9,9.3,10.8,,0
108,서울,2012-01-24,-7.3,1.6,2.5,39.9,1.4,1013.2,9.2,10.56,2.8,2
108,서울,2012-01-25,-8.2,,3.1,41.3,1.4,1013.4,9.5,11.23,2.8,0
108,서울,2012-01-26,-2.9,0,2.5,54.5,2.8,1013.5,7.5,8.19,.4,4.3
108,서울,2012-01-27,-.9,0,2.5,64.6,3.7,1013.4,2.9,5.67,,3.4
108,서울,2012-01-28,-1.8,,2.5,24.4,1.3,1017,7.1,9.34,,4.4
108,서울,2012-01-29,-2.8,,2.8,23.4,1.1,1018.6,8.7,10.83,,1.1
108,서울,2012-01-30,-5.6,,2.8,22.4,.9,1018.9,9.5,11.29,,.3
108,서울,2012-01-31,-4.7,3.9,3.1,48.4,2.3,1010.5,1.9,3.53,6.2,7.5
108,서울,2012-02-01,-12.8,,3.9,47.9,1.1,1015.5,9.5,12.09,6.2,0
108,서울,2012-02-02,-13.7,,3.4,44.4,.9,1019.6,9.6,11.97,4.9,0
108,서울,2012-02-03,-8.6,.1,2.3,54.3,1.8,1015.5,9.4,11.61,3.6,3.4
108,서울,2012-02-04,-3,.2,2.3,48.5,2.3,1014.9,9.5,11.66,3.4,3
108,서울,2012-02-05,-.9,,1.4,36.1,2,1013.6,6.4,9.18,.3,4.3
108,서울,2012-02-06,.9,.2,2.4,50.6,3.3,1006.2,4.3,8.12,.3,8
108,서울,2012-02-07,-8.7,0,5.2,42.3,1.4,1008.8,9.6,12.61,.3,0
108,서울,2012-02-08,-8,,3.5,39.1,1.3,1011.6,9.6,11.72,,2.5
108,서울,2012-02-09,-4.5,,2.5,48.9,2.1,1015,9.2,11.26,,3.8
108,서울,2012-02-10,-3.5,0,2.8,46.4,2.3,1015.7,7.8,9.13,,3.6
108,서울,2012-02-11,-3.8,,2.6,42.5,2,1018.6,9.7,12.82,,.1
108,서울,2012-02-12,-.1,,1.8,34.4,1.9,1019.3,8.9,12.56,,4.9
108,서울,2012-02-13,3.1,,2.1,26.3,2,1013.5,5.2,9.1,,5.3
108,서울,2012-02-14,3,,2.5,48.9,3.6,1010.3,7.5,11.19,,4
108,서울,2012-02-15,-1.3,,3.7,31.5,1.7,1012.3,8.2,11.6,,5.6
108,서울,2012-02-16,-2.8,,3.5,32.4,1.6,1012.6,9.6,12.97,,2
108,서울,2012-02-17,-6.4,,4.4,35.1,1.3,1013.5,8.3,11.51,,1
108,서울,2012-02-18,-6.8,,3.4,38.9,1.4,1016.2,9.8,13.84,,.5
108,서울,2012-02-19,-4.4,,2.4,39.6,1.7,1017,10.1,14.27,,0
108,서울,2012-02-20,-.2,,2.6,56.8,3.4,1016,9.6,12.33,,.5
108,서울,2012-02-21,2.3,,1.9,59.1,4.2,1013.1,.5,5.42,,6.9
108,서울,2012-02-22,5.8,,2.4,46.6,4.3,1006.5,8.7,12.03,,5.4
108,서울,2012-02-23,4.4,.3,3.1,64.4,5.3,1004,5.8,9.79,,6.9
108,서울,2012-02-24,4.3,,3.2,61.3,5,1007.1,4.7,8.89,,6.8
108,서울,2012-02-25,1.2,,3.8,57.4,3.8,1007.4,3.6,8.62,,7.1
108,서울,2012-02-26,-1.6,,3.3,33.5,1.8,1012.5,6.6,11.08,,4.4
108,서울,2012-02-27,-.7,,2.4,31.3,1.7,1015.5,10.5,15.1,,0
108,서울,2012-02-28,2.1,,2.1,26.6,1.9,1014,3.5,9.24,,5
108,서울,2012-02-29,5.4,,2.2,27.1,2.4,1012.2,9.2,13.54,,3.6
108,서울,2012-03-01,8.7,,1.9,20.1,2.1,1007.8,7.7,13.24,,5.9
108,서울,2012-03-02,6.9,.3,3,54.6,5.4,1008.3,2.1,5.47,,8.5
108,서울,2012-03-03,6.9,,3.5,47.1,4.6,1014.1,8.9,12.99,,5.4
108,서울,2012-03-04,6.2,0,5.2,49.9,4.7,1011.8,1.4,7.35,,8.5
108,서울,2012-03-05,5.3,7,5.8,66.9,5.9,1001.7,0,3.76,,10
108,서울,2012-03-06,3,8.5,4.7,81.6,6.2,1000.8,0,1.66,,9.5
108,서울,2012-03-07,3,,2.9,60.1,4.5,1008.8,7.2,12.11,,5.8
108,서울,2012-03-08,2,,3.5,47.8,3.3,1011.3,4,10.7,,5.6
108,서울,2012-03-09,3.4,,2.1,48.9,3.7,1010.3,5.3,11.14,,6.4
108,서울,2012-03-10,3.9,,3.5,52.5,4.3,1009.2,7,13.7,,7
108,서울,2012-03-11,-2.4,0,5.4,43,2.2,1012.3,11.1,17.08,0,1.9
108,서울,2012-03-12,-1.6,,3.8,40.1,2.2,1016.3,11.2,18.2,,0
108,서울,2012-03-13,1.7,,2.6,49.8,3.4,1015.3,9.2,15.5,,.6
108,서울,2012-03-14,3.6,0,3.8,70.4,5.6,1013.8,.3,2.94,,7
108,서울,2012-03-15,5.5,,1.9,35.8,2.8,1016.3,10.4,17.19,,1.9
108,서울,2012-03-16,8.1,4,3.2,51.1,5.4,1006.4,0,6.41,,9.9
108,서울,2012-03-17,10.4,2,2.5,71.4,8.7,1000,5.5,12.65,,7.6
108,서울,2012-03-18,6.9,,3.3,62.8,6.3,1003.9,8.2,13.32,,3.4
108,서울,2012-03-19,2.8,,3.1,38,2.7,1010.2,9.8,15.36,,1.9
108,서울,2012-03-20,3.1,,3.9,30.6,2.3,1010,11.3,18.95,,.4
108,서울,2012-03-21,4.3,,2.9,36.3,2.8,1012.5,11,18.93,,.9
108,서울,2012-03-22,7.8,0,2.5,53.6,5.6,1009.4,2,9.92,,8.6
108,서울,2012-03-23,5,22,3.7,82.5,7.1,998.5,0,1.38,,10
108,서울,2012-03-24,3.3,3.5,5.6,54.5,4.1,1000.2,7.5,13.08,,4.8
108,서울,2012-03-25,3.6,,4.8,36.6,2.8,1007.3,10.9,18.4,,1.6
108,서울,2012-03-26,3.9,,3.7,38.3,3,1013.1,11.6,19.83,,0
108,서울,2012-03-27,6.4,,3.1,57.6,5.5,1012.7,4.9,9.92,,5
108,서울,2012-03-28,10.1,,2,56.4,6.7,1014.7,8.2,14.83,,4
108,서울,2012-03-29,11.6,0,3.4,57,7.7,1010.5,4.9,11.61,,6
108,서울,2012-03-30,9,.1,3.7,73.5,8.7,1003.8,0,4.02,,9.3
108,서울,2012-03-31,5.4,0,4.2,38.4,3.4,1004.7,10.2,15.87,,3.6
108,서울,2012-04-01,4.6,,3.1,28.1,2.3,1011.9,10.9,18.94,,0
108,서울,2012-04-02,8.3,22,3.4,56.9,6.4,1003.9,.2,5.81,,9.3
108,서울,2012-04-03,4.9,35,4.8,66.9,6,993.3,2.9,5.81,,6.3
108,서울,2012-04-04,7.2,,4.4,57.3,5.8,999.9,10.5,17.62,,.8
108,서울,2012-04-05,6.7,,4.3,43.4,4.1,1001.6,11.7,20.07,,.8
108,서울,2012-04-06,5.4,,4.6,41.5,3.6,1005.5,7.8,17.62,,2.1
108,서울,2012-04-07,5.9,,3,35.5,3.1,1011.1,12,21.6,,0
108,서울,2012-04-08,11.3,,4.7,47.3,6.4,1008,9.6,17.94,,2.9
108,서울,2012-04-09,15.4,,2.6,55.8,9,1009.1,8.4,18.81,,4
108,서울,2012-04-10,13.7,10.5,2,82.8,12.8,1004.4,0,3.57,,9.3
108,서울,2012-04-11,12.2,3,3.8,72.5,10.1,994.9,5.4,11.26,,5.8
108,서울,2012-04-12,8.9,,3.7,49.5,5.6,1000.8,4.3,12.43,,6.1
108,서울,2012-04-13,10.3,,2.7,52.8,6.5,1002.7,1,10.91,,8.4
108,서울,2012-04-14,10.5,,2.9,68,8.3,1004.4,8.1,18.26,,3.9
108,서울,2012-04-15,13.4,,2.6,56,7.9,1002.5,10.9,20.45,,3.5
108,서울,2012-04-16,11.9,,3.1,58,7.8,1002.5,8,17.98,,3
108,서울,2012-04-17,13.6,,2.4,38.1,5.6,1004.7,11.9,20.86,,0
108,서울,2012-04-18,15.2,,2.1,32.3,5.3,1007.3,7.8,15.75,,4.6
108,서울,2012-04-19,17,,2.5,34.1,6.1,1008.8,8.3,17.84,,6.1
108,서울,2012-04-20,18.4,,3.3,38.9,8.1,1009.6,9.3,18.54,,6.1
108,서울,2012-04-21,11.4,47.5,7.1,72.6,9.5,999.1,0,2.56,,9.9
108,서울,2012-04-22,9.4,9,5.2,91.4,10.8,995.4,0,1.84,,10
108,서울,2012-04-23,12.9,0,2.2,82.1,12.2,1002.2,.6,6.32,,7.3
108,서울,2012-04-24,19.7,,1.9,60.3,12.9,1002.1,9.2,18.71,,5.1
108,서울,2012-04-25,15.1,28,3.9,72.8,11.9,990.4,0,1.82,,9.9
108,서울,2012-04-26,11.9,2,4.8,53.4,7.2,996.5,12.7,23.44,,2.4
108,서울,2012-04-27,15.2,,4.1,32,4.9,1001.2,11.9,21.43,,1.8
108,서울,2012-04-28,17,,3.1,42.4,8.2,1004.3,8.9,19.21,,1.8
108,서울,2012-04-29,19.9,,1.9,57.1,12.9,1004.3,7.8,18.07,,6.8
108,서울,2012-04-30,22.9,,2.5,43.3,10.9,1001.1,12.4,23.01,,0
108,서울,2012-05-01,22.6,,2,46.1,12.3,998.7,6.4,16.74,,6.8
108,서울,2012-05-02,23.1,.4,3,47.3,13,995.4,10,19.26,,3.3
108,서울,2012-05-03,20,.2,3.3,53.8,12.2,994.5,9.6,19.2,,3.4
108,서울,2012-05-04,19.7,,3.3,48.8,10.7,997.1,12.2,22.82,,0
108,서울,2012-05-05,18.8,,3.9,42.4,8.4,995,12.2,23.62,,1.6
